Country,Category,Description,Units,Year,Month,Quantity,Value,M2
_USMCA,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,49758181,243929725,49758181
_USMCA,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,49926618,253795062,49926618
_USMCA,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,43739096,217014584,43739096
_USMCA,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,45214575,227476378,45214575
_USMCA,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,46501251,238718173,46501251
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,190185087,770207590,190185087
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,228176754,898348559,228176754
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,254782783,993954784,254782783
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,207199065,850691408,207199065
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,228785368,927317910,228785368
_W HEMI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,232382686,959995552,232382686
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,4788,43806,4788
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,7828,39770,7828
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,3157,34746,3157
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,3602,21108,3602
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,11899,81002,11899
Afghanistan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,1595,15147,1595
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,161253,1946877,161253
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,187057,2963005,187057
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,409984,4898313,409984
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,400617,4328976,400617
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,257712,3666546,257712
Albania,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,222128,2660785,222128
Algeria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,6,350,6
Angola,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,15,733,15
