Country,'25 / 7,'25 / 8,'25 / 9,'25 / 10,'25 / 11,'25 / 12,'26 / 1,'26 / 2,'26 / 3,'26 / 4,'26 / 5,'26 / 6
World,-3.0596740748955686,-5.99794087103308,-7.9344524974196196,-18.55260512445841,-11.554580953568793,-5.190761561492874,-13.969382723202928,-13.446587318372194,-7.6360712039454715,-11.93477731367867,2.7724509729251112,-1.9625767840498742
China,-38.37773869166817,-45.6359241633545,-55.419089122455254,-53.37567424007936,-51.956618465599036,-55.21789781233646,-62.51048854417891,-51.343426984258734,-36.85114339268034,-36.52151871091453,18.20456763067506,-8.094121682551414
Vietnam,12.535569298488669,8.81061745026348,2.6675712544096397,-4.8879305150892005,8.511639767631252,16.726435679944494,2.574519888948945,2.6688315272287655,2.6291442119487307,-2.020423355021661,1.239409536915348,-0.5803942467851764
Indonesia,11.137438801223842,11.44444284880317,-0.02027796062686882,-12.92774036941482,4.103846143853684,7.936606065640173,6.945996741162941,0.6005736794229222,-7.415792594288673,11.552736828108934,22.85340972431713,-6.633748173630893
Cambodia,25.206852048899854,49.17089903150262,28.469101234237804,7.530998619233276,32.2499198936651,35.123358094609245,24.862992162763064,10.206536777229402,16.394653952272087,4.3827279691951215,17.652183228855158,2.219105304538349
Nicaragua,4.681865688846165,-0.012976223806093756,2.7535822504768825,-13.71816883599749,-8.00597381616267,-13.263138489556514,-11.940785546251698,-4.014756699214638,-14.293005061476194,-27.003758775209054,-23.40510855908685,-26.86649710095579
Guatemala,-5.105044740092102,-24.787432540900646,-8.930523401529467,-17.802600823915228,-8.797941969615009,1.9803858727682533,-4.732628211749191,12.138394126337149,-12.205210533407751,-7.650875386687339,5.6731202979776185,10.328505297623746
Bangladesh,5.027265703400485,7.522228327244784,11.6181252206625,-10.652915405041963,-15.781485992413957,3.330192685055189,-1.3772617697597966,-17.02416733849953,-8.132043971856584,-17.14605577149053,6.030000577390382,5.74170032334107
India,15.127969449554701,16.015810328931266,-11.613528807862927,-28.908615320961918,-26.289299469519044,-2.5931027095616233,-18.326821705447394,-29.39626982032252,-32.52380898012679,-30.51121359945602,-19.42803628757388,-18.455039837922826
Jordan,21.405972315867693,-16.153349645980487,19.621105007712192,-35.54142175421073,2.951822191919562,11.511063180740289,3.1721818575335847,-15.32016093084092,15.544184887457435,-0.5686714477915467,1.913897811332399,-18.01923804899418
El Salvador,8.214992544709986,-7.052974517274169,4.5209512450300915,-20.12578425929732,-14.800339305352871,3.3926017979767797,-9.212746036143448,10.763495511353227,-10.24421420064533,0.11250358957977102,7.6152482443624825,3.1311012279236605
Egypt,30.487045568836614,21.49930769919908,23.973661159136594,-21.306254606192287,-18.1845786996238,3.04304777652582,43.21422095472529,-0.2148483803690593,19.849529620862462,2.4062146886258073,51.65636755541119,-13.774791472242963
Others,0.14036597029163378,0.39390429721104514,5.560455637471562,-7.66688317319093,-1.2261803010821248,1.4323471874861493,-4.4541649951235325,-2.9962168851668247,0.28669959393747835,-9.924728599909615,-2.467580940962444,4.809738338647618
